Name of the Institute,Email Id
"Pillai College of Engineering (Autonomous), Panvel",prashant@mes.ac.in
"Rajiv Gandhi Institute of Technology, Mumbai",sanjay.bokade@mctrgit.ac.in
"Ramrao Adik Institute of Technology, Nerul",rait@rait.ac.in
"Rizvi College of Engineering, Bandra (West)",info@eng.rizvi.edu.in
"Rustomjee Academy for Global Careers, Thane",info@ragc.in
Sardar Patel College of Engineering - Andheri (West),ac_sec@spce.ac.in
"Shah and Anchor Kutchhi Engineering College, Chembur",info@sakec.ac.in
SVPKM's Bhagubhai Mafatlal Polytechnic & College of Engineering.,principalsbmp@rediffmail.com
"Shivajirao S. Jondhale College of Engineering, Dombivali",ssjcet.principal@gmail.com
"Sindhudurg Shikshan Prasarak Mandal's College of Engineering, Kankavli",sspmcoe@gmail.com
"SIES Graduate School of Technology, Nerul",csi-council@siesgst.ac.in
"St. Francis Institute of Technology, Borivali",teamraw@sfit.ac.in
"Terna Engineering College, Nerul, Navi Mumbai",info@ternaengg.ac.in
"Thakur College of Engineering and Technology, Thakur Village, Kandivali",tcet.sort@gmail.com
"Thadomal Shahani Engineering College Mumbai, Bandra (W)",gtthampi@gmail.com
"Vidyalankar Institute of Technology, Wadala(E),Mumbai",principal@vit.edu.in
"Vidyavardhini College of Engineering and Technology, Vasai Road(W)",principal@vcet.edu.in
"Universal Ai University, Karjat, Mumbai",info@universalai.in
"Usha Mittal Institute of Technology, Santacruz(W), Mumbai",office@umit.sndt.ac.in
"Veermata Jijabai Technological Institute, Matunga, Mumbai (Autonomous)",director@vjti.ac.in
"Vivekanand Education Society's Institute of Technology Mumbai, Chembur",vesit@ves.ac.in
"Watumull Institute of Electronics Engineering and Computer Technology, Ulhasnagar",principal@watumull.edu
Xavier Institute of Engineering Mahim (West),office@xavier.ac.in
"Yadavrao Tasgaonkar Institute of Engineering & Technology (YTIET), Bhivpuri",principal.ytiet@tasgaonkartech.com
"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",info@gecrajkot.ac.in
"GOVERNMENT ENGINEERING COLLEGE, PATAN",principalgecpatan@gmail.com
"L. D. COLLEGE OF ENGINEERING , AHMEDABAD",ldce-abad-dte@gujarat.gov.in
"LUKHDHIRJI ENGINEERING COLLEGE, MORBI,","principallecollege@gmail,com"
"ENGINEERING COLLEGE, CHANDKHEDA",est@vgecg.ac.in
GIDC DEGREE ENGINEERING COLLEGE AUTOMOBILE ENGINEERING,gidcengcol@gmail.com
HJD INSTITUTE OF TECHNICAL EDUCATION AND CIVIL ENGINEERING,hjdinstitute@gmail.com
IPCOWALA INSTITUTE OF ENGINEERING AUTOMOBILE ENGINEERING ,principal@iietedu.ac.in
LAXMI INSTITUTE OF TECHNOLOGY,lit.director@laxmi.edu.in
MERCHANT ENGINEERING COLLEGE AUTOMOBILE ENGINEERING ,info@mecbasna.ac.in
NARNARAYAN SHASTRI INSTITUTE OF AUTOMOBILE ENGINEERING ,nsitgurukul@yahoo.com
SAL COLLEGE OF ENGINEERING,info@sal.edu.in
SANJAYBHAI RAJGURU COLLEGE OF COMPUTER SCIENCE & ENGINEERING ,srcoe@srez.edu.in
V.V.P. ENGINEERING COLLEGE,info@vvpedulink.ac.in
ASHA M. TARSADIA INSTITUTE OF COMPUTER COMPUTER SCIENCE & ENGINEERING ,registrar@utu.ac.in
A. D. PATEL INSTITUTE OF TECHNOLOGY,principal@adit.ac.in
"Constituent Institute of CVM University, Anand",cvmandal@hotmail.com
BHAGWAN ARIHANT INSTITUTE OF TECHNOLOGY AERONAUTICAL ENGINEERING ,info@bmusurat.ac.in
"CHHOTUBHAI GOPALBHAI PATEL INSTITUTEOF TECHNOLOGY, TARSADI ",director.cgpit@utu.ac.in
DARSHAN INSTITUTE OF ENGINEERING & CIVIL ENGINEERING ,info@darshan.ac.in
DEVANG PATEL INSTITUTE OF ADVANCE COMPUTER ENGINEERING ,principal.depstar@charusat.ac.in
"DHIRUBHAI AMBANI INSTITUTE OF HONS. IN ICT WITH MINOR IN COMPUTATIONAL
SCIENCE",info@daiict.ac.in
U. V. Patel College of Engineering,principal.uvpce@ganpatuniversity.ac.in
G H PATEL COLLEGE OF ENGINEERING &TECHNOLOGY,principal@gcet.ac.in
HASMUKH GOSWAMI COLLEGE OF AUTOMOBILE ENGINEERING ,be.hgce@gmail.com
INDUS INSTITUTE OF TECHNOLOGY & ENGINEERING,info@indusuni.ac.in
L. J. INSTITUTE OF ENGINEERING & TECHNOLOGY,info@ljku.edu.in
SANKALCHAND PATEL COLLEGE ,principal@spcevng.ac.in
VIDUSH SOMANY INSTITUTE OF TECHNOLOGY CIVIL ENGINEERING AND RESEARCH ,principal@vsitr.ac.in
